Initial solution: value=19940236, buses=600
Iteration 177: time=17137045, buses=620
Iteration 178: time=18362458, buses=620
Iteration 179: time=18528379, buses=620
Iteration 180: time=23579775, buses=620
Iteration 181: time=18503454, buses=620
Iteration 182: time=19272712, buses=620
Iteration 183: time=17398904, buses=620
Iteration 184: time=23962614, buses=620
Iteration 185: time=17136130, buses=620
Iteration 186: time=18687485, buses=620
Iteration 187: time=18583707, buses=620
Iteration 188: time=23297340, buses=620
Iteration 189: time=17539867, buses=620
Iteration 190: time=18687485, buses=620
Iteration 191: time=18583707, buses=620
Iteration 192: time=23876657, buses=620
Iteration 193: time=17840971, buses=620
Iteration 194: time=17811118, buses=620
Iteration 195: time=18110947, buses=620
Iteration 196: time=23876657, buses=620
Iteration 197: time=17853655, buses=620
Iteration 198: time=18468484, buses=620
Iteration 199: time=18528379, buses=620
Iteration 200: time=23962614, buses=620
Iteration 201: time=17657097, buses=620
Iteration 202: time=18362458, buses=620
Iteration 203: time=17719354, buses=620
Iteration 204: time=23971462, buses=620
Iteration 205: time=16898448, buses=620
Iteration 206: time=20234239, buses=620
Iteration 207: time=17448799, buses=620
Iteration 208: time=23590133, buses=620
Iteration 209: time=17860264, buses=620
Iteration 210: time=18205692, buses=620
Iteration 211: time=18269165, buses=620
Iteration 212: time=23853725, buses=620
Iteration 213: time=17137470, buses=620
Iteration 214: time=18739275, buses=620
Iteration 215: time=17492523, buses=620
Iteration 216: time=23429020, buses=620
Iteration 217: time=16981267, buses=620
Iteration 218: time=18739275, buses=620
Iteration 219: time=17448799, buses=620
Iteration 220: time=23590133, buses=620
Iteration 221: time=17281871, buses=620
Iteration 222: time=18839651, buses=620
Iteration 223: time=17524765, buses=620
Iteration 224: time=23295214, buses=620
Iteration 225: time=18155974, buses=620
Iteration 226: time=19443659, buses=620
Iteration 227: time=17999121, buses=620
Iteration 228: time=23682833, buses=620
Iteration 229: time=17731167, buses=620
Iteration 230: time=18839651, buses=620
Iteration 231: time=19153824, buses=620
Iteration 232: time=24166526, buses=620
Iteration 233: time=17392840, buses=620
Iteration 234: time=18932867, buses=620
Iteration 235: time=17448799, buses=620
Iteration 236: time=23853725, buses=620
Iteration 237: time=17553291, buses=620
Iteration 238: time=18205692, buses=620
Iteration 239: time=17492523, buses=620
Iteration 240: time=23429020, buses=620
Iteration 241: time=16977828, buses=620
Iteration 242: time=18739275, buses=620
Iteration 243: time=19153824, buses=620
Iteration 244: time=23429020, buses=620
Iteration 245: time=17416492, buses=620
Iteration 246: time=18205692, buses=620
Iteration 247: time=18269165, buses=620
Iteration 248: time=23590133, buses=620
Iteration 249: time=17178154, buses=620
Iteration 250: time=17566525, buses=620
Iteration 251: time=17492523, buses=620
Iteration 252: time=23429020, buses=620
Iteration 253: time=16893764, buses=620
Iteration 254: time=18864518, buses=620
Iteration 255: time=17914441, buses=620
Iteration 256: time=23663939, buses=620
Iteration 257: time=17869890, buses=620
Iteration 258: time=18332231, buses=620
Iteration 259: time=17477883, buses=620
Iteration 260: time=23663939, buses=620
Iteration 261: time=17473066, buses=620
Iteration 262: time=18864518, buses=620
Iteration 263: time=17243881, buses=620
Iteration 264: time=23663939, buses=620
Iteration 265: time=18216519, buses=620
Iteration 266: time=18864518, buses=620
Iteration 267: time=18812318, buses=620
Iteration 268: time=23663939, buses=620
Iteration 269: time=17226277, buses=620
Iteration 270: time=18864518, buses=620
Iteration 271: time=17477883, buses=620
Iteration 272: time=24229726, buses=620
Iteration 273: time=17930609, buses=620
Iteration 274: time=19171701, buses=620
Iteration 275: time=17192137, buses=620
Iteration 276: time=24330754, buses=620
Iteration 277: time=16971902, buses=620
Iteration 278: time=18864518, buses=620
Iteration 279: time=18780499, buses=620
Iteration 280: time=23243724, buses=620
Iteration 281: time=17908153, buses=620
Iteration 282: time=18269162, buses=620
Iteration 283: time=17243881, buses=620
Iteration 284: time=23545256, buses=620
Iteration 285: time=17869890, buses=620
Iteration 286: time=18864518, buses=620
Iteration 287: time=17192137, buses=620
Iteration 288: time=23243724, buses=620
Iteration 289: time=18039580, buses=620
Iteration 290: time=18864518, buses=620
Iteration 291: time=17477883, buses=620
Iteration 292: time=23243724, buses=620
Iteration 293: time=17698197, buses=620
Iteration 294: time=20199173, buses=620
Iteration 295: time=18509050, buses=620
Iteration 296: time=24330754, buses=620
Iteration 297: time=17931805, buses=620
Iteration 298: time=18864518, buses=620
Iteration 299: time=18509050, buses=620
Iteration 300: time=23663939, buses=620
16893764
{600: <solution.Solution object at 0x000001C0FCEBF3B0>, 620: <solution.Solution object at 0x000001C08CA92C30>, 640: <solution.Solution object at 0x000001C08C132FC0>}
{600: <solution.Solution object at 0x000001C0FCEBF3B0>, 620: <solution.Solution object at 0x000001C08CA92C30>, 640: <solution.Solution object at 0x000001C08C132FC0>}
Buses: 600, Best Value: 19234040
Buses: 620, Best Value: 16893764
Buses: 640, Best Value: 17085748
